id,sourcePort,destinationPort,distance
353,Cigading (CIG),Surabaya (SUBY),460
354,Cigading (CIG),Terengganu (TGG),790
355,Cat Lai (CLI),Bangpakong (BAK),675
356,Cat Lai (CLI),Bintulu (BIN),614
357,Cat Lai (CLI),Bangkok (BK),690
358,Cat Lai (CLI),Bang Sapan (BS),622
359,Cat Lai (CLI),Godau port  (GDP),55
360,Cat Lai (CLI),Kemaman (KMN),490
361,Cat Lai (CLI),Kuantan (KT),510
362,Cat Lai (CLI),Kuching (KUC),630
363,Cat Lai (CLI),Labuan (LBN),645
364,Cat Lai (CLI),Maptaphut (MAT),605
365,Cat Lai (CLI),Century Harbour (MHI),680
366,Cat Lai (CLI),Pasir Gudang (PAS),656
367,Cat Lai (CLI),Phumy (PHU),73
368,Cat Lai (CLI),Port Klang (PKL),864
369,Cat Lai (CLI),Songkhla (SK),515
370,Cat Lai (CLI),Son Duong (SOD),700
371,Cat Lai (CLI),Tagbilaran (TAG),1115
372,Cat Lai (CLI),Tawau (TAW),1050
373,Cat Lai (CLI),Tanjong Manis (TGM),605
374,Cat Lai (CLI),Tha Sala (TSL),605
375,Cat Lai (CLI),Vung Tau (VUT),43
376,Cai Lan (CLN),Bangkok (BK),1450
377,Cai Lan (CLN),Godau port  (GDP),870
378,Cai Lan (CLN),Haiphong (HPH),70
379,Cai Lan (CLN),Lumut (LUM),1690
380,Cai Lan (CLN),Vung Tau (VUT),800
381,Chantaburi LaemSing (CLS),Bangkok (BK),165
382,Chantaburi LaemSing (CLS),Surat Thanee (SRT),256
383,Cam Pha (CPH),Bintulu (BIN),1157
384,Cam Pha (CPH),Bangkok (BK),1483
385,Cam Pha (CPH),Bang Sapan (BS),1413
386,Cam Pha (CPH),Danang (DAD),305
387,Cam Pha (CPH),Godau port  (GDP),818
388,Cam Pha (CPH),Haiphong (HPH),54
389,Cam Pha (CPH),Kemaman (KMN),1231
390,Cam Pha (CPH),Kuantan (KT),1246
391,Cam Pha (CPH),Kuching (KUC),1292
392,Cam Pha (CPH),Labuan (LBN),1166
393,Cam Pha (CPH),Maptaphut (MAT),1392
394,Cam Pha (CPH),Pasir Gudang (PAS),1351
395,Cam Pha (CPH),Phumy (PHU),831
396,Cam Pha (CPH),Port Klang (PKL),1551
397,Cam Pha (CPH),Songkhla (SK),1302
398,Cam Pha (CPH),Son Duong (SOD),202
399,Cam Pha (CPH),Tagbilaran (TAG),1529
400,Cam Pha (CPH),Tawau (TAW),1558
401,Cam Pha (CPH),Tanjong Manis (TGM),1250
402,Cam Pha (CPH),Vung Tau (VUT),801
403,Chittagong (CTG),Bangkok (BK),2390
404,Chittagong (CTG),Ningde (NDE),3570
405,Danang (DAD),Bangkok (BK),1155
406,Danang (DAD),Cam Pha (CPH),305
407,Danang (DAD),Dung Quat (DQT),70
408,Danang (DAD),Godau port  (GDP),516
409,Danang (DAD),Haiphong (HPH),300
410,Danang (DAD),K.K. Kota Kinabalu (KK),1003
411,Danang (DAD),Kuantan (KT),925
412,Danang (DAD),Labuan (LBN),815
413,Danang (DAD),Century Harbour (MHI),1126
414,Danang (DAD),Songkhla (SK),956
415,Danang (DAD),Terengganu (TGG),958
416,Dhaka (DKA),Ningde (NDE),3670
417,Dumai (DMI),Bangpakong (BAK),1050
418,Dumai (DMI),Bintulu (BIN),730
419,Dumai (DMI),Bangkok (BK),1100
420,Dumai (DMI),Bourbon (BOUR),820
421,Dumai (DMI),Bang Sapan (BS),890
422,Dumai (DMI),Godau port  (GDP),810
423,Dumai (DMI),HO CHI MINH (HCM),790
424,Dumai (DMI),Jakarta (JAK),970
425,Dumai (DMI),K.K. Kota Kinabalu (KK),1080
426,Dumai (DMI),Kemaman (KMN),460
427,Dumai (DMI),Kuantan (KT),450
428,Dumai (DMI),Kuching (KUC),637
